"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Alopecurus aequalis Sobol.";"Vulpin roux";"Alopecurus aequalis Sobol., 1799";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"81610"
"";"Alopecurus rendlei Eig";"Vulpin utriculé";"Alopecurus rendlei Eig, 1937";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"81658"
"";"Althaea officinalis L.";"Guimauve officinale";"Althaea officinalis L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"81856"
"";"Anagallis tenella (L.) L.";"Mouron délicat";"Lysimachia tenella L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"107085"
"";"Angelica archangelica L.";"Angélique vraie";"Angelica archangelica L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"82705"
"";"Apium graveolens L.";"Céleri";"Apium graveolens L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"83195"
"";"Apium inundatum (L.) Reichenb.";"Ache inondée";"Helosciadium inundatum (L.) W.D.J.Koch, 1824";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"101220"
"";"Aquilegia vulgaris L.";"Ancolie vulgaire";"Aquilegia vulgaris L., 1753 subsp. vulgaris";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"131526"
"";"Aquilegia vulgaris L.";"Ancolie vulgaire";"Aquilegia vulgaris subsp. subalpina (Boreau) B.Bock, 2012";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"718210"
"";"Aquilegia vulgaris L.";"Ancolie vulgaire";"Aquilegia vulgaris L., 1753";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"83267"
"";"Armeria maritima (Mill.) Willd. ssp. halleri (Wallr.) Rothm.";"Gazon d'Olympe, sous-espèce de Haller";"Armeria maritima (Mill.) Willd., 1809 subsp. maritima";"Liste des espèces végétales protégées en région Nord-Pas-de-Calais";"Arrêté interministériel du 1er avril 1991 relatif à la liste des espèces végétales protégées en région Nord-Pas-de-Calais complétant la liste nationale";"Article 1";"131662"
