"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Larus dominicanus (Lichtenstein, 1823)";"Goéland dominicain";"Larus dominicanus Lichtenstein, 1823";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"442022"
"";"Macronectes giganteus (Gmelin, 1789)";"Pétrel géant antarctique";"Macronectes giganteus (Gmelin, 1789)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"994"
"";"Macronectes halli (Mathews, 1912)";"Pétrel géant subantarctique";"Macronectes halli Mathews, 1912";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"253474"
"";"Oceanites oceanicus (Kuhl, 1820)";"Océanite de Wilson";"Oceanites oceanicus (Kuhl, 1820)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"1039"
"";"Pachyptila belcheri (Mathews, 1912)";"Prion de Belcher";"Pachyptila belcheri (Mathews, 1912)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"442170"
"";"Pachyptila desolata (Gmelin, 1789)";"Prion de la désolation";"Pachyptila desolata (Gmelin, 1789)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"442172"
"";"Pachyptila macgillivrayi (Mathews, 1912)";"Prion de Macgillivray";"Pachyptila salvini macgillivrayi (Mathews, 1912)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"836264"
"";"Pachyptila salvini (Mathews, 1912)";"Prion de Salvin";"Pachyptila salvini macgillivrayi (Mathews, 1912)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"836264"
"";"Pachyptila salvini (Mathews, 1912)";"Prion de Salvin";"Pachyptila salvini (Mathews, 1912)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"442173"
"";"Pachyptila turtur (Kuhl, 1820)";"Petit prion";"Pachyptila turtur (Kuhl, 1820)";"Mesures de protection sur tout le territoire national des oiseaux représentés dans les Terres australes et antarctiques françaises";"Arrêté interministériel du 14 août 1998 fixant sur tout le territoire national des mesures de protection des oiseaux représentés dans les Terres australes et antarctiques françaises (modifié par l'arrêté du 29 juillet 2005, JORF 8 novembre 2005, et par l'arrêté du 24 juillet 2006, JORF 14 septembre 2006)";"Article 1";"442174"
