"";"Nom cité dans le texte";"Nom français cité dans le texte";"Nom valide";"INTITULE";"ARRETE";"ARTICLE";"CD_NOM"
"";"Pseudunio auricularis (Spengler, 1793)";"";"Pseudunio auricularius (Spengler, 1793)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 2";"199889"
"";"Renea bourguignatiana Nevill, 1880";"";"Renea bourguignatiana G. Nevill, 1880";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162710"
"";"Renea gormonti Boeters, Gittenberger et Subai, 1989";"";"Renea gormonti Boeters, E. Gittenberger & Subai, 1989";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162708"
"";"Renea moutonii (Dupuy, 1849)";"";"Renea moutonii moutonii (Dupuy, 1849)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162705"
"";"Renea moutonii (Dupuy, 1849)";"";"Renea moutonii singularis (Pollonera, 1905)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162706"
"";"Renea moutonii (Dupuy, 1849)";"";"Renea moutonii (Dupuy, 1849)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"199891"
"";"Renea paillona Boeters, Gittenberger et Subai, 1989";"";"Renea paillona Boeters, E. Gittenberger & Subai, 1989";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162707"
"";"Renea singularis (Pollonera, 1905)";"";"Renea moutonii singularis (Pollonera, 1905)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162706"
"";"Solatopupa cianensis (Caziot, 1910)";"";"Solatopupa cianensis (Caziot, 1910)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162982"
"";"Solatopupa guidoni (Caziot, 1903)";"";"Solatopupa guidoni guidoni (Caziot, 1904)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162983"
"";"Solatopupa guidoni (Caziot, 1903)";"";"Solatopupa guidoni (Caziot, 1904)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"163477"
"";"Solatopupa psarolena (Bourguignat, 1859)";"";"Solatopupa psarolena (Bourguignat, 1858)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"162981"
"";"Tacheocampilaea raspaili (Payraudeau, 1826)";"Escargot de Raspail";"Tacheocampylaea raspailii (Payraudeau, 1826)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 3";"163375"
"";"Trissexodon constrictus (Boubée, 1836)";"";"Trissexodon constrictus (Boubée, 1836)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"163248"
"";"Truncatellina arcyensis Klemm, 1943";"";"Truncatellina cylindrica (J.B. Férussac, 1807)";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"163012"
"";"Unio crassus (Philipsson, 1788)";"";"Unio crassus courtillieri Hattemann, 1859";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 2";"163421"
"";"Unio crassus (Philipsson, 1788)";"";"Unio crassus crassus Philipsson, 1788";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 2";"163419"
"";"Unio crassus (Philipsson, 1788)";"";"Unio crassus Philipsson, 1788";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 2";"64443"
"";"Vitrea pseudotrolli Pinter, 1983";"";"Vitrea pseudotrolli L. Pintér, 1983";"Liste des mollusques protégés sur l'ensemble du territoire français métropolitain";"Arrêté interministériel du 23 avril 2007 fixant la liste des mollusques protégés sur l'ensemble du territoire et les modalités de leur protection";"Article 4";"163106"
