ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;TYPE_LISTE;GROUPE_GRAND_PUBLIC
40;53307;53307;Erynnis tages;(Linnaeus, 1758);Point-de-Hongrie;;ES;Hesperiidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
30;53312;53312;Heteropterus morpheus;(Pallas, 1771);Miroir;;ES;Hesperiidae;;;VU;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
30;53315;53315;Carterocephalus palaemon;(Pallas, 1771);Echiquier Hespérie du Brome;;ES;Hesperiidae;;;VU;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
30;53320;53320;Thymelicus acteon;(Rottemburg, 1775);Hespérie du chiendent;;ES;Hesperiidae;;;VU;;;2016;;NT;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
30;53332;53332;Hesperia comma;(Linnaeus, 1758);Virgule Comma;;ES;Hesperiidae;;;VU;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;219740;53337;Ochlodes venatus;auct non (Bremer & Grey, 1853);Sylvaine;;ES;Hesperiidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
25;53370;53370;Arethusana arethusa;(Denis & Schiffermüller, 1775);Mercure Petit agreste;;ES;Nymphalidae;;;EN;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
15;53376;53376;Hipparchia fagi;(Scopoli, 1763);Sylvandre;;ES;Nymphalidae;;;RE;;;2016;NT;NT;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
30;53391;53391;Hipparchia semele;(Linnaeus, 1758);Agreste;;ES;Nymphalidae;;;VU;;;2016;LC;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
15;53425;53425;Chazara briseis;(Linnaeus, 1764);Hermite;;ES;Nymphalidae;;;RE;;;2016;;NT;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
15;53483;53483;Erebia aethiops;(Esper, 1777);Moiré sylvicole;;ES;Nymphalidae;;;RE;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
20;53487;53487;Erebia medusa;(Denis & Schiffermüller, 1775);Moiré franconien;;ES;Nymphalidae;;;CR;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53595;53595;Pararge aegeria;(Linnaeus, 1758);Tircis;;ES;Nymphalidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
35;53604;53604;Lasiommata megera;(Linnaeus, 1767);Mégère;;ES;Nymphalidae;;;NT;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
45;53609;53609;Lasiommata maera;(Linnaeus, 1758);Némusien Ariane;;ES;Nymphalidae;;;DD;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
15;53615;53615;Lopinga achine;(Scopoli, 1763);Bacchante;;ES;Nymphalidae;;;RE;;;2016;;VU;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53623;53623;Coenonympha pamphilus;(Linnaeus, 1758);Fadet commun Procris;;ES;Nymphalidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
15;53631;53631;Coenonympha tullia;(O.F. Müller, 1764);Fadet des tourbières;;ES;Nymphalidae;;;RE;;;2016;;VU;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
15;53651;53651;Coenonympha hero;(Linnaeus, 1761);Fadet de l'élyme;;ES;Nymphalidae;;;RE;;;2016;;VU;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53661;53661;Coenonympha arcania;(Linnaeus, 1761);Céphale;;ES;Nymphalidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
25;53663;53663;Coenonympha glycerion;(Borkhausen, 1788);Fadet de la mélique;;ES;Nymphalidae;;;EN;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53668;53668;Maniola jurtina;(Linnaeus, 1758);Myrtil;;ES;Nymphalidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53700;53700;Melanargia galathea;(Linnaeus, 1758);Demi-deuil;;ES;Nymphalidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53724;53724;Araschnia levana;(Linnaeus, 1758);Carte géographique;;ES;Nymphalidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53727;53727;Nymphalis polychloros;(Linnaeus, 1758);Grande tortue;;ES;Nymphalidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
55;53733;53733;Nymphalis antiopa;(Linnaeus, 1758);Morio;;ES;Nymphalidae;;;NA;;;2016;LC;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;608364;53736;Inachis io;(Linnaeus, 1758);Paon du jour;;ES;Nymphalidae;;;LC;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53741;53741;Vanessa atalanta;(Linnaeus, 1758);Vulcain;;ES;Nymphalidae;;;LC;;;2016;LC;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53747;53747;Vanessa cardui;(Linnaeus, 1758);Belle dame;;ES;Nymphalidae;;;LC;;;2016;LC;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53754;53754;Aglais urticae;(Linnaeus, 1758);Petite Tortue;;ES;Nymphalidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
40;53759;53759;Polygonia c-album;(Linnaeus, 1758);Robert-le-diable C blanc;;ES;Nymphalidae;;;LC;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
19;53765;53765;Limenitis populi;(Linnaeus, 1758);Grand sylvain;;ES;Nymphalidae;;;CR*;;;2016;;LC;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
15;53767;53769;Azuritis reducta;(Staudinger, 1901);Sylvain azuré;;ES;Nymphalidae;;;RE;;;2016;;;;Liste rouge régionale de la faune menacée en Picardie;LRR_Faune_Picardie_2016;Insectes et araignées
