ordre;CD_REF;CD_NOM;NOM_CITE;AUTEUR;NOMS_COMMUNS;POPULATION;RANG;FAMILLE;ENDEMISME;COMMENTAIRE;STATUT;CRITERES;TENDANCE;VERSION;STATUT_I;STATUT_EU;ANNEEEVAL;NOM_LISTE;GROUPE_GRAND_PUBLIC;
"45";"1012380";"239438";"Andrena similis Smith, 1849";"Smith, 1849";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239441";"239441";"Andrena solenopalpa Benoist, 1945";"Benoist, 1945";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"DD";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239442";"239442";"Andrena spreta Pérez, 1895";"Pérez, 1895";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239446";"239446";"Andrena suerinensis Friese, 1884";"Friese, 1884";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"DD";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239447";"239447";"Andrena symphyti Schmiedeknecht, 1883";"Schmiedeknecht, 1883";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239448";"239448";"Andrena synadelpha Perkins, 1914";"Perkins, 1914";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239449";"239449";"Andrena taraxaci Giraud, 1861";"Giraud, 1861";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239450";"239450";"Andrena tarsata Nylander, 1848";"Nylander, 1848";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"1038110";"1038110";"Andrena thomsonii Ducke, 1898";"Ducke, 1898";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2013";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239453";"239453";"Andrena thoracica (Fabricius, 1775)";"(Fabricius, 1775)";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239456";"239456";"Andrena trimmerana (Kirby, 1802)";"(Kirby, 1802)";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239457";"239457";"Andrena truncatilabris Morawitz, 1877";"Morawitz, 1877";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"939518";"939518";"Andrena tscheki Morawitz, 1872";"Morawitz, 1872";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239459";"239459";"Andrena variabilis Smith, 1853";"Smith, 1853";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239461";"239461";"Andrena ventralis Imhoff, 1832";"Imhoff, 1832";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239462";"239462";"Andrena ventricosa Dours, 1873";"Dours, 1873";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239466";"239466";"Andrena viridescens Viereck, 1916";"Viereck, 1916";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239467";"239467";"Andrena vulpecula Kriechbaumer, 1873";"Kriechbaumer, 1873";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239468";"239468";"Andrena wilkella (Kirby, 1802)";"(Kirby, 1802)";"";"";"ES";"Andrenidae";"";"";"DD";"";"";"2023.1";"";"DD";"2015";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"436548";"436548";"Aneura maxima (Schiffn.) Steph.";"(Schiffn.) Steph., 1899";"";"";"ES";"Aneuraceae";"";"";"DD";"";"";"2023.1";"";"DD";"2019";"Liste rouge européenne des espèces menacées";"Plantes, mousses et fougères";
"45";"239473";"239473";"Anthidium diadema Latreille, 1809";"Latreille, 1809";"";"";"ES";"Megachilidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
"45";"239476";"239476";"Anthidium loti Perris, 1852";"Perris, 1852";"";"";"ES";"Megachilidae";"";"";"DD";"";"";"2023.1";"";"DD";"2014";"Liste rouge européenne des espèces menacées";"Insectes et araignées";
