CDNOM;FAMILLE;NOM_SCIENTIFIQUE;NOM_VERNACULAIRE;CATEGORIE_HAUTS-DE-FRANCE;CRITERES;CATEGORIE_FRANCE;CATEGORIE_EUROPE
53269;Hesperiidae;Spialia sertorius (Hoffmannsegg, 1804);Hespérie des Sanguisorbes;EN;B2ab(iii);LC ;LC
247045;Zygaenidae;Zygaena carniolica (Scopoli, 1763);Zygène du Sainfoin;EN;B2ab(iii);/;/
247060;Zygaenidae;Zygaena trifolii (Esper, 1783);Zygène des prés;EN;B2ab(iii);/;/
247054;Zygaenidae;Zygaena viciae (Denis & Schiffermuller, 1775);Zygène des Thérésiens;EN;B2ab(iii);/;/
53370;Nymphalidae;Arethusana arethusa (Denis & Schiffermuller, 1775);Mercure;EN;B2ab(iv);LC ;LC 
53315;Hesperiidae;Carterocephalus palaemon (Pallas, 1771);Hespérie du Brome;VU;A4c;LC ;LC 
53783;Nymphalidae;Apatura ilia (Denis & Schiffermuller, 1775);Petit Mars changeant;VU;B2ab(iii);LC;LC 
53786;Nymphalidae;Apatura iris (Linnaeus, 1758);Grand mars changeant;VU;B2ab(iii);LC ;LC 
247047;Zygaenidae;Zygaena loti (Denis & Schiffermuller, 1775);Zygène du Lotier;VU;B2ab(iii);/;/
247041;Zygaenidae;Zygaena minos (Denis & Schiffermuller, 1775);Zygène diaphane;VU;B2ab(iii);/;/
53609;Nymphalidae;Lasiommata maera (Linnaeus, 1758);Némusien;VU;D1;LC ;LC 
53604;Nymphalidae;Lasiommata megera (Linnaeus, 1767);Mégère ;NT;pr. A2c+B2b(ii,iii);LC ;LC 
53817;Nymphalidae;Melitaea cinxia (Linnaeus, 1758);Mélitée du Plantain;NT;pr. B(1+2)ab(iii);LC ;LC 
53727;Nymphalidae;Nymphalis polychloros (Linnaeus, 1758);Grande Tortue;NT;pr. B2ab(iii);LC ;LC 
219756;Lycaenidae;Satyrium pruni (Linnaeus, 1758);Thécla du Prunier;NT;pr. B2ab(iii);LC ;LC 
219755;Lycaenidae;Satyrium w-album (Knoch, 1782);Thécla de l'Orme;NT;pr. B2ab(iii);LC ;LC 
