"";"Nom de référence";"Nom vernaculaire";"Statut*";"Règne";"Classe";"Ordre";"Famille";"CD_REF";"CD_NOM";
"";"Cerithium scabridum Philippi, 1848";"";"J";"Animalia (Animaux)";"Gastropoda (Gastéropodes)";"[unassigned] Caenogastropoda";"Cerithiidae";"360643";"360643"
"";"Chaenotetrastichus semiflavus (Girault, 1917)";"";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hymenoptera (Hyménoptères)";"Eulophidae";"838893";"838893"
"";"Ciona intestinalis (Linnaeus, 1767)";"Ascidie jaune, Cione, Cione instestinale";"J";"Animalia (Animaux)";"Ascidiacea (Ascidies)";"Phlebobranchia";"Cionidae";"6912";"6912"
"";"Cladophora hutchinsioides C.Hoek & Womersley, 1984";"";"J";"Plantae (Plantes)";"Ulvophyceae";"Cladophorales";"Cladophoraceae";"924599";"924599"
"";"Codium fragile (Suringar) Har., 1889";"Codium fragile, Algue chou-fleur, Codium orvet";"J";"Plantae (Plantes)";"Ulvophyceae";"Bryopsidales";"Codiaceae";"72608";"72608"
"";"Corbicula fluminalis (O.F. Müller, 1774)";"Corbicule striolée";"J";"Animalia (Animaux)";"Bivalvia (Bivalves)";"Venerida";"Cyrenidae";"64641";"64641"
"";"Corbicula fluminea (O.F. Müller, 1774)";"Corbicule asiatique";"J";"Animalia (Animaux)";"Bivalvia (Bivalves)";"Venerida";"Cyrenidae";"163433";"163433"
"";"Corbicula leana Prime, 1864";"Corbicule japonaise";"J";"Animalia (Animaux)";"Bivalvia (Bivalves)";"Venerida";"Cyrenidae";"885309";"885309"
"";"Corella eumyota Traustedt, 1882";"Ascidie cartilagineuse";"J";"Animalia (Animaux)";"Ascidiacea (Ascidies)";"Phlebobranchia";"Corellidae";"647530";"647530"
"";"Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn., 1900";"Herbe de la pampa, Herbe des pampas";"J";"Plantae (Plantes)";"Equisetopsida (Équisétopsides)";"Poales (Poales)";"Poaceae (Poacées)";"92572";"92572"
"";"Corythucha arcuata (Say, 1832)";"Punaise réticulée du chêne (La)";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)";"Tingidae";"932824";"932824"
"";"Corythucha ciliata (Say, 1832)";"Tigre du platane";"J";"Animalia (Animaux)";"Insecta (Insectes)";"Hemiptera (Cigales, Cochenilles, Pucerons, Punaises)";"Tingidae";"237413";"237413"
"";"Crepidula fornicata (Linnaeus, 1758)";"Crépidule américaine, Pantoufle des mers";"J";"Animalia (Animaux)";"Gastropoda (Gastéropodes)";"Littorinimorpha";"Calyptraeidae";"62462";"62462"
"";"Cryphonectria parasitica (Murrill) M.E.Barr, 1978";"Agent du chancre du châtaignier, Agent du chancre de l'écorce, Agent de la brûlure du châtaignier";"J";"Fungi (Champignons)";"Sordariomycetes";"Diaporthales";"Cryphonectriaceae";"532884";"532884"
